127.0.0.1 - - [02/Aug/2017:23:10:04 +0530] "GET /MyDreamProject/resources/images/paints.jpg HTTP/1.1" 200 92590
127.0.0.1 - - [02/Aug/2017:23:10:04 +0530] "GET /MyDreamProject/resources/images/Store1.jpg HTTP/1.1" 200 552472
127.0.0.1 - - [02/Aug/2017:23:10:04 +0530] "GET /MyDreamProject/resources/images/kohli-tent-house-9.jpg HTTP/1.1" 200 78727
127.0.0.1 - - [02/Aug/2017:23:10:06 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [02/Aug/2017:23:10:35 +0530] "GET /MyDreamProject/home/index HTTP/1.1" 200 10543
127.0.0.1 - - [02/Aug/2017:23:10:35 +0530] "GET /MyDreamProject/resources/css/loginfrom.css HTTP/1.1" 200 2452
127.0.0.1 - - [02/Aug/2017:23:10:35 +0530] "GET /MyDreamProject/resources/css/footer.css HTTP/1.1" 200 2603
127.0.0.1 - - [02/Aug/2017:23:10:35 +0530] "GET /MyDreamProject/resources/css/home.css HTTP/1.1" 200 838
127.0.0.1 - - [02/Aug/2017:23:10:35 +0530] "GET /MyDreamProject/resources/images/nuts_volts.jpg HTTP/1.1" 200 589889
127.0.0.1 - - [02/Aug/2017:23:10:35 +0530] "GET /MyDreamProject/resources/images/Store1.jpg HTTP/1.1" 200 552472
127.0.0.1 - - [02/Aug/2017:23:10:35 +0530] "GET /MyDreamProject/resources/images/paints.jpg HTTP/1.1" 200 92590
127.0.0.1 - - [02/Aug/2017:23:10:35 +0530] "GET /MyDreamProject/resources/images/kohli-tent-house-9.jpg HTTP/1.1" 200 78727
127.0.0.1 - - [02/Aug/2017:23:10:36 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
